nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
BS.	607 680 663 712
Nguyễn	663 680 718 712
Phúc	718 680 773 712
Hải	773 680 828 712
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
17/05/2021	773 774 867 789
16:16:14	867 774 960 789

Khoa	34 56 86 72
Khám	86 56 139 72
bệnh	139 56 192 72
PK	34 83 69 104
Số	69 83 105 104
5.1	105 83 140 104
[TĐ]	140 83 176 104
Số	489 85 565 114
phiếu	565 85 642 114
58661/2019	642 85 718 114
4659259	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	813 149 861 165
Nữ	901 149 931 165
35	394 193 423 210
35	481 193 509 209
208	573 193 615 210
08643	669 193 736 210
2	327 194 344 209
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chấn	36 254 84 274
đoán:	84 254 131 274
E11	131 254 178 274
-	178 254 226 274
Bệnh	226 254 273 274
đái	273 254 321 274
tháo	321 254 368 274
đường	368 254 415 274
không	415 254 463 274
phụ	463 254 510 274
thuộc	510 254 557 274
insulin;	557 254 605 274
(110)	605 254 652 274
Tăng	652 254 700 274
huyết	700 254 747 274
áp	747 254 794 274
vô	794 254 842 274
căn	842 254 889 274
(nguyên	889 254 936 274
phát)	34 274 85 291
1)	60 360 152 385
GLUCOFAST	152 360 244 385
850	244 360 336 385
850mg	336 360 428 385
SL:	782 361 831 382
60	831 361 880 382
Viên	880 361 928 382
Ghi	44 385 88 409
chú	88 385 131 409
Uống	131 385 175 409
sau	175 385 218 409
khi	218 385 261 409
ăn:	261 385 305 409
Chiều	676 386 715 404
1	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
2)	59 409 138 435
DIAMICRON	138 409 217 435
MR	217 409 296 435
TAB	296 409 375 435
30MG	375 409 453 435
60'S	453 409 532 435
30mg	532 409 611 435
SL:	782 410 831 430
30	831 410 880 430
Viên	880 410 928 430
Ghi	44 433 90 457
chú	90 433 136 457
Uống	136 433 182 457
trước	182 433 228 457
khi	228 433 275 457
ăn:	275 433 321 457
Sáng	380 437 418 456
1	418 437 456 456
Viên	456 437 494 456
3)	57 458 151 484
ENALAPRIL	151 458 244 484
5mg	244 458 338 484
SL:	782 458 831 479
30	831 458 880 479
Viên	880 458 928 479
Ghi	44 482 90 506
chú	90 482 136 506
Uống	136 482 182 506
trước	182 482 228 506
khi	228 482 275 506
ăn:	275 482 321 506
Sáng	380 485 418 504
1	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 557 96 577
hẹn	96 557 148 577
tái	148 557 201 577
khám:	201 557 253 577
Thứ	253 557 306 577
sáu,	306 557 359 577
18/10/2019	359 557 411 577
Ngày	636 591 726 609
18/09/2019	726 591 815 609
Bệnh	85 609 128 626
nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
BS.	603 686 660 707
Hoàng	660 686 717 707
Thị	717 686 773 707
Hường	773 686 830 707
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
13/05/2021	773 774 867 791
15:39:38	867 774 960 791

1/1	76 26 148 54
PK	34 83 69 104
Số	69 83 105 104
5.1	105 83 140 104
[TĐ]	140 83 176 104
Số	489 85 564 114
phiếu	564 85 639 114
26486/2021	639 85 714 114
5027392	823 94 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
GB	246 193 281 209
35	481 193 509 209
207	573 193 613 210
97341	669 193 734 210
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chẩn	36 256 84 274
đoán:	84 256 131 274
E11	131 256 178 274
-	178 256 226 274
Bệnh	226 256 273 274
đái	273 256 321 274
tháo	321 256 368 274
đường	368 256 415 274
không	415 256 463 274
phụ	463 256 510 274
thuộc	510 256 557 274
insuline	557 256 605 274
1)	60 360 159 385
MEGLUCON	159 360 257 385
1000	257 360 356 385
1000mg	356 360 455 385
SL:	782 361 831 382
61	831 361 880 382
Viên	880 361 928 382
Ghi	44 385 88 409
chú	88 385 131 409
Uống	131 385 175 409
sau	175 385 218 409
khi	218 385 261 409
ăn:	261 385 305 409
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
Cộng	43 414 97 432
khoản:	97 414 151 432
1	151 414 205 432
khoản	205 414 259 432
Lời	43 435 85 454
dặn	85 435 127 454
đơn	127 435 169 454
thuốc:	169 435 211 454
Ngày	43 458 94 479
hẹn	94 458 146 479
tái	146 458 197 479
khám:	197 458 248 479
Thứ	248 458 300 479
tư,	300 458 351 479
07/07/2021	351 458 402 479
Ngày	636 494 726 512
07/05/2021	726 494 815 512
Bệnh	85 510 128 528
nhân	128 510 172 528
ký	172 510 215 528
nhận	215 510 259 528
Y,	650 516 680 537
Bác	680 516 710 537
sĩ	710 516 740 537
điều	740 516 771 537
trị	771 516 801 537
BS.	617 585 668 609
Đào	668 585 719 609
Tiến	719 585 771 609
Trung	771 585 822 609
Tái	43 640 88 659
khám	88 640 132 659
xin	132 640 177 659
mang	177 640 222 659
theo	222 640 267 659
đơn,	267 640 311 659
xét	311 640 356 659
nghiệm,	356 640 401 659
phim	401 640 446 659
(nếu	446 640 490 659
có)	490 640 535 659
11/05/2021	773 677 867 693
22:05:44	867 677 960 693

Khoa	34 56 86 72
Khám	86 56 139 72
bệnh	139 56 192 72
PK	34 83 67 105
Số	67 83 100 105
2	100 83 132 105
[Nội]	132 83 165 105
Số	489 85 565 114
phiếu	565 85 642 114
57120/2018	642 85 718 114
4832804	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
GB	246 193 281 209
35	394 193 423 210
35	481 193 509 209
206	573 193 615 210
54086	669 193 738 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chấn	36 254 82 274
đoán:	82 254 128 274
[10	128 254 175 274
-	175 254 221 274
Tăng	221 254 267 274
huyết	267 254 313 274
áp	313 254 359 274
vô	359 254 405 274
căn	405 254 451 274
(nguyên	451 254 497 274
phát);	497 254 543 274
(E78)	543 254 589 274
Rối	589 254 635 274
loạn	635 254 681 274
chuyển	681 254 727 274
hoá	727 254 773 274
lipoprotein	773 254 819 274
và	819 254 865 274
tình	865 254 911 274
trạng	34 271 80 295
tăng	80 271 126 295
lipid	126 271 172 295
máu	172 271 218 295
khác	218 271 264 295
1)	60 361 139 385
TROYSAR	139 361 218 385
AM	218 361 297 385
5mg	297 361 376 385
+50mg	376 361 455 385
SL:	782 361 831 382
30	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
2)	57 409 140 435
LENINARTO	140 409 223 435
10	223 409 306 435
10mg	306 409 389 435
SL:	782 410 831 430
30	831 410 880 430
Viên	880 410 928 430
Ghi	44 433 88 457
chú	88 433 131 457
Uống	131 433 175 457
sau	175 433 218 457
khi	218 433 261 457
ăn:	261 433 305 457
Tối	822 435 855 452
1	855 435 888 452
Viên	888 435 921 452
3)	59 457 159 484
STACETAM	159 457 259 484
800MG	259 457 359 484
800mg	359 457 459 484
SL:	782 458 831 479
20	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Chiều	675 484 714 500
1	714 484 753 500
Viên	753 484 793 500
Sáng	380 485 418 504
1	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 557 94 577
hẹn	94 557 146 577
tái	146 557 197 577
khám:	197 557 248 577
Thứ	248 557 300 577
tư,	300 557 351 577
17/10/2018	351 557 402 577
Ngày	636 591 726 609
17/09/2018	726 591 815 609
Bệnh	85 609 128 626
nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
BS.	614 681 665 707
Đào	665 681 717 707
Tiến	717 681 768 707
Trung	768 681 819 707
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
12/05/2021	773 774 868 789
10:05:56	868 774 963 789

Khoa	36 55 88 68
Khám	88 55 140 68
bệnh	140 55 192 68
PK	32 73 66 92
Số	66 73 100 92
2	100 73 133 92
[Nội]	133 73 167 92
Số	483 77 558 97
phiếu	558 77 633 97
73105/2018	633 77 709 97
4692396	811 82 896 96
TOA	336 97 444 121
THUỐC	444 97 551 121
BHYT	551 97 659 121
Nam	806 126 849 137
Nữ	892 126 922 137
2	324 159 419 171
206	567 159 607 171
74614	664 159 728 171
35	477 160 503 171
lần/phút	220 177 279 190
Huyết	279 177 337 190
áp:	337 177 396 190
Mạch:	36 179 94 190
MMHg	587 179 649 191
Thân	649 179 711 191
nhiệt:	711 179 774 191
Cận	36 192 77 206
lâm	77 192 119 206
sàng:	119 192 161 206
Chấn	33 202 80 219
đoán:	80 202 127 219
[10	127 202 174 219
-	174 202 220 219
Tăng	220 202 267 219
huyết	267 202 314 219
áp	314 202 361 219
vô	361 202 407 219
căn	407 202 454 219
(nguyên	454 202 501 219
phát);	501 202 548 219
(E78)	548 202 594 219
Rối	594 202 641 219
loạn	641 202 688 219
chuyến	688 202 735 219
hoá	735 202 781 219
lipoprotein	781 202 828 219
và	828 202 875 219
tỉnh	875 202 922 219
trạng	36 221 80 233
tăng	80 221 124 233
lipid	124 221 168 233
máu	168 221 212 233
khác	212 221 257 233
1)	59 283 137 303
TROYSAR	137 283 215 303
AM	215 283 293 303
5mg	293 283 371 303
+50mg	371 283 449 303
SL:	771 283 819 300
30	819 283 867 300
Viên	867 283 915 300
Ghi	48 302 101 320
chú	101 302 154 320
Uống:	154 302 207 320
Sáng	376 304 414 321
1	414 304 451 321
Viên	451 304 489 321
2)	57 319 138 340
LENINARTO	138 319 220 340
10	220 319 302 340
10mg	302 319 384 340
SL:	771 321 819 337
30	819 321 867 337
Viên	867 321 915 337
Ghi	48 340 101 356
chú	101 340 154 356
Uống:	154 340 207 356
Sáng	374 341 411 355
1	411 341 449 355
Viên	449 341 487 355
3)	57 356 155 376
STACETAM	155 356 254 376
800MG	254 356 353 376
800mg	353 356 451 376
SL:	771 357 819 374
20	819 357 867 374
Viên	867 357 915 374
Chiều	667 377 707 390
1	707 377 748 390
Viên	748 377 788 390
Ghi	48 378 97 392
chú	97 378 146 392
Uống	146 378 196 392
Sáng	376 379 414 393
1	414 379 451 393
Viên	451 379 489 393
Cộng	42 397 96 411
khoản:	96 397 149 411
3	149 397 202 411
khoản	202 397 255 411
Lời	42 415 84 427
dặn	84 415 125 427
đơn	125 415 167 427
thuốc:	167 415 209 427
Ngày	42 430 94 448
hẹn	94 430 146 448
tái	146 430 198 448
khám:	198 430 250 448
Thứ	250 430 302 448
sáu,	302 430 354 448
21/12/2018	354 430 406 448
Ngày	627 457 718 471
21/11/2018	718 457 809 471
Bệnh	83 471 125 485
nhân	125 471 168 485
ký	168 471 211 485
nhận	211 471 254 485
Y,	641 476 671 490
Bác	671 476 701 490
sĩ	701 476 731 490
điều	731 476 761 490
trị	761 476 790 490
YS.	589 526 649 547
Trương	649 526 709 547
Quốc	709 526 768 547
Huân	768 526 828 547
Tái	42 566 87 583
khám	87 566 131 583
xin	131 566 175 583
mang	175 566 219 583
theo	219 566 263 583
đơn,	263 566 307 583
xét	307 566 351 583
nghiệm,	351 566 396 583
phim	396 566 440 583
(nếu	440 566 484 583
có)	484 566 528 583
27/12/2021	759 596 854 609
23:26:17	854 596 949 609

1/1	76 26 148 54
PK	34 83 67 105
Số	67 83 100 105
2	100 83 132 105
[Nội]	132 83 165 105
Số	489 85 565 114
phiếu	565 85 642 114
73396/2018	642 85 718 114
4709591	823 93 903 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
HT	243 193 281 210
35	393 193 423 210
35	481 193 509 209
206	573 193 615 210
87166	669 193 738 210
3	327 194 344 209
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chấn	36 254 82 274
đoán:	82 254 128 274
[10	128 254 175 274
-	175 254 221 274
Tăng	221 254 267 274
huyết	267 254 313 274
áp	313 254 359 274
vô	359 254 405 274
căn	405 254 451 274
(nguyên	451 254 497 274
phát);	497 254 543 274
(E78)	543 254 589 274
Rối	589 254 635 274
loạn	635 254 681 274
chuyển	681 254 727 274
hoá	727 254 773 274
lipoprotein	773 254 819 274
và	819 254 865 274
tình	865 254 911 274
trạng	34 271 80 295
tăng	80 271 126 295
lipid	126 271 172 295
máu	172 271 218 295
khác	218 271 264 295
1)	60 361 139 385
TROYSAR	139 361 218 385
AM	218 361 297 385
5mg	297 361 376 385
+50mg	376 361 455 385
SL:	782 361 831 382
62	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Chiều	676 386 715 404
1	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
2)	57 409 140 435
LENINARTO	140 409 223 435
10	223 409 306 435
10mg	306 409 389 435
SL:	782 410 831 430
31	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Tối	822 435 855 452
1	855 435 888 452
Viên	888 435 921 452
3)	59 457 159 484
STACETAM	159 457 259 484
800MG	259 457 359 484
800mg	359 457 459 484
SL:	782 458 831 479
20	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Chiều	675 484 714 500
1	714 484 753 500
Viên	753 484 793 500
Sáng	380 485 418 504
1	418 485 456 504
Viên	456 485 494 504
Cộng	43 512 97 530
khoản:	97 512 151 530
3	151 512 205 530
khoản	205 512 259 530
Lời	43 533 85 551
dặn	85 533 127 551
đơn	127 533 169 551
thuốc:	169 533 211 551
Ngày	43 558 86 575
hẹn	86 558 130 575
tái	130 558 173 575
khám:	173 558 217 575
Ngày	636 591 726 609
23/11/2018	726 591 815 609
Bệnh	85 609 128 626
nhân	128 609 172 626
ký	172 609 215 626
nhận	215 609 259 626
Y,	650 614 680 633
Bác	680 614 710 633
sĩ	710 614 740 633
điều	740 614 771 633
trị	771 614 801 633
BS.	623 684 671 706
Trần	671 684 718 706
Mạnh	718 684 765 706
Hà	765 684 813 706
Tái	43 736 88 757
khám	88 736 132 757
xin	132 736 177 757
mang	177 736 222 757
theo	222 736 267 757
đơn,	267 736 311 757
xét	311 736 356 757
nghiệm,	356 736 401 757
phim	401 736 446 757
(nếu	446 736 490 757
có)	490 736 535 757
18/05/2021	773 773 867 792
15:29:06	867 773 960 792

1/1	74 32 149 54
PK	32 74 66 92
Số	66 74 100 92
2	100 74 133 92
[Nội]	133 74 167 92
Số	483 77 558 97
phiếu	558 77 633 97
56255/2018	633 77 709 97
4659132	811 83 896 96
TOA	336 97 444 121
THUỐC	444 97 551 121
BHYT	551 97 659 121
Nam	806 126 849 137
Nữ	892 126 922 137
208	563 157 607 171
22629	662 157 728 171
2	324 160 419 171
35	475 160 503 171
lần/phút	220 177 279 190
Huyết	279 177 337 190
áp:	337 177 396 190
Mạch:	36 179 94 190
MMHg	587 179 649 191
Thân	649 179 711 191
nhiệt:	711 179 774 191
Cận	36 192 77 206
lâm	77 192 119 206
sàng:	119 192 161 206
Chẩn	33 204 76 219
đoán:	76 204 119 219
110	119 204 162 219
-	162 204 205 219
Tăng	205 204 248 219
huyết	248 204 290 219
áp	290 204 333 219
vô	333 204 376 219
căn	376 204 419 219
(nguyên	419 204 462 219
phát)	462 204 505 219
1)	59 283 137 303
TROYSAR	137 283 215 303
AM	215 283 293 303
5mg	293 283 371 303
+50mg	371 283 449 303
SL:	771 283 819 300
30	819 283 867 300
Viên	867 283 915 300
Ghi	48 302 101 320
chú	101 302 154 320
Uống:	154 302 207 320
Sáng	376 304 414 321
1	414 304 451 321
Viên	451 304 489 321
2)	57 319 138 340
LENINARTO	138 319 220 340
10	220 319 302 340
10mg	302 319 384 340
SL:	771 321 819 337
30	819 321 867 337
Viên	867 321 915 337
Tối	811 340 844 354
1	844 340 876 354
Viên	876 340 909 354
Ghi	48 340 101 356
chú	101 340 154 356
Uống:	154 340 207 356
3)	57 356 155 376
STACETAM	155 356 254 376
800MG	254 356 353 376
800mg	353 356 451 376
SL:	771 357 819 373
20	819 357 867 373
Viên	867 357 915 373
Tối	811 376 844 390
1	844 376 876 390
Viên	876 376 909 390
Ghi	48 378 97 392
chú	97 378 146 392
Uống	146 378 196 392
Sáng	376 379 414 393
1	414 379 451 393
Viên	451 379 489 393
Cộng	42 397 96 411
khoản:	96 397 149 411
3	149 397 202 411
khoản	202 397 255 411
Lời	42 415 84 427
dặn	84 415 125 427
đơn	125 415 167 427
thuốc:	167 415 209 427
Ngày	42 433 85 447
hẹn	85 433 128 447
tái	128 433 171 447
khám:	171 433 214 447
Ngày	627 457 718 471
12/09/2018	718 457 809 471
Bệnh	81 469 125 486
nhân	125 469 170 486
ký	170 469 214 486
nhận	214 469 258 486
Y,	641 475 671 492
Bác	671 475 701 492
sĩ	701 475 731 492
điều	731 475 761 492
trị	761 475 790 492
YS.	589 526 649 547
Trương	649 526 709 547
Quốc	709 526 768 547
Huân	768 526 828 547
Tái	42 566 87 583
khám	87 566 131 583
xin	131 566 175 583
mang	175 566 219 583
theo	219 566 263 583
đơn,	263 566 307 583
xét	307 566 351 583
nghiệm,	351 566 396 583
phim	396 566 440 583
(nếu	440 566 484 583
có)	484 566 528 583
28/12/2021	759 596 854 609
23:17:37	854 596 949 609

1/1	76 26 148 54
PK	34 83 67 105
Số	67 83 100 105
2	100 83 132 105
[Nội]	132 83 165 105
Số	489 85 556 114
phiếu	556 85 623 114
563/2019	623 85 690 114
4702220	823 94 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
HT	246 193 281 210
35	481 193 509 210
208	573 193 615 210
00530	672 193 736 210
2	327 194 344 209
35	394 194 423 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 281 235
Huyết	281 216 342 235
áp:	342 216 402 235
Mạch:	36 218 96 233
Cận	36 237 78 256
lâm	78 237 121 256
sàng:	121 237 163 256
Chẩn	36 254 77 272
đoán:	77 254 118 272
J20	118 254 159 272
-	159 254 200 272
Viêm	200 254 240 272
phế	240 254 281 272
quản	281 254 322 272
cấp	322 254 363 272
1)	60 360 153 385
FUDCIME	153 360 247 385
200MG	247 360 340 385
200mg	340 360 434 385
SL:	782 361 831 382
10	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Chiều	676 386 715 404
1	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
1	418 388 456 407
Viên	456 388 494 407
2)	59 409 157 435
BROMHEXIN	157 409 256 435
ACTAVIS	256 409 355 435
8MG	355 409 453 435
8mg	453 409 552 435
SL:	782 410 831 430
20	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Chiều	676 435 715 452
2	715 435 755 452
Viên	755 435 794 452
Sáng	380 437 418 456
2	418 437 456 456
Viên	456 437 494 456
3)	59 457 146 484
VIPREDNI	146 457 232 484
16MG	232 457 319 484
16mg	319 457 406 484
SL:	782 458 831 479
10	831 458 880 479
Viên	880 458 928 479
Ghi	44 481 100 504
chú	100 481 155 504
Uống:	155 481 210 504
Sáng	380 485 418 504
2	418 485 456 504
Viên	456 485 494 504
4)	60 507 155 532
PARTAMOL	155 507 250 532
TAB.	250 507 344 532
500mg	344 507 439 532
SL:	782 507 831 528
10	831 507 880 528
Viên	880 507 928 528
Ghi	44 528 100 553
chú	100 528 155 553
Uống:	155 528 210 553
Chiều	675 532 709 549
1	709 532 743 549
Sáng	377 532 410 554
1	410 532 443 554
Cộng	43 560 97 579
khoản:	97 560 151 579
4	151 560 205 579
khoản	205 560 259 579
Lời	43 582 85 600
dặn	85 582 127 600
đơn	127 582 169 600
thuốc:	169 582 211 600
Ngày	43 607 86 626
hẹn	86 607 130 626
tái	130 607 173 626
khám:	173 607 217 626
Ngày	636 640 727 658
03/01/2019	727 640 818 658
Bệnh	85 657 128 674
nhân	128 657 172 674
ký	172 657 215 674
nhận	215 657 259 674
Y,	650 665 680 684
Bác	680 665 710 684
sĩ	710 665 740 684
điều	740 665 771 684
trị	771 665 801 684
BS.	623 732 671 757
Trần	671 732 718 757
Mạnh	718 732 765 757
Hà	765 732 813 757
Tái	43 785 88 806
khám	88 785 132 806
xin	132 785 177 806
mang	177 785 222 806
theo	222 785 267 806
đơn,	267 785 311 806
xét	311 785 356 806
nghiệm,	356 785 401 806
phim	401 785 446 806
(nếu	446 785 490 806
có)	490 785 535 806
09/05/2021	771 824 864 840
17:02:31	864 824 957 840

1/1	76 26 148 54
PK	34 83 67 105
Số	67 83 100 105
2	100 83 132 105
[Nội]	132 83 165 105
Số	489 85 565 114
phiếu	565 85 642 114
43871/2018	642 85 718 114
4730716	823 93 905 110
TOA	342 114 450 142
THUỐC	450 114 557 142
BHYT	557 114 665 142
Nam	815 149 861 165
Nữ	901 149 931 165
DN	243 193 282 210
35	394 193 423 210
35	481 193 509 210
140	576 193 615 210
25610	669 193 736 210
MMHg	592 215 655 238
Thân	655 215 718 238
nhiệt:	718 215 781 238
lần/phút	221 216 280 235
Huyết	280 216 339 235
áp:	339 216 398 235
Mạch:	36 218 96 233
Cận	36 236 85 257
lâm	85 236 134 257
sàng:	134 236 182 257
Chụp	182 236 231 257
Xquang	231 236 280 257
khớp	280 236 328 257
vai	328 236 377 257
thẳng	377 236 426 257
Chấn	36 251 80 274
đoán:	80 251 123 274
S42.1	123 251 167 274
-	167 251 210 274
Gẫy	210 251 253 274
xương	253 251 297 274
vai	297 251 340 274
1)	60 360 176 385
PARACETAMOL	176 360 292 385
500MG	292 360 407 385
500mg	407 360 523 385
SL:	782 361 831 382
20	831 361 880 382
Viên	880 361 928 382
Ghi	44 384 100 407
chú	100 384 155 407
Uống:	155 384 210 407
Chiều	676 386 715 404
2	715 386 755 404
Viên	755 386 794 404
Sáng	380 388 418 407
2	418 388 456 407
Viên	456 388 494 407
2)	57 409 165 435
STATRIPSINE	165 409 273 435
4,2mg	273 409 381 435
SL:	782 410 831 430
20	831 410 880 430
Viên	880 410 928 430
Ghi	44 432 100 456
chú	100 432 155 456
Uống:	155 432 210 456
Chiều	675 435 714 452
2	714 435 753 452
Viên	753 435 793 452
Sáng	380 437 418 456
2	418 437 456 456
Viên	456 437 494 456
Cộng	43 463 97 480
khoản:	97 463 151 480
2	151 463 205 480
khoản	205 463 259 480
Lời	43 485 85 502
dặn	85 485 127 502
đơn	127 485 169 502
thuốc:	169 485 211 502
Ngày	43 510 86 528
hẹn	86 510 130 528
tái	130 510 173 528
khám:	173 510 217 528
Ngày	636 542 726 560
23/07/2018	726 542 815 560
Bệnh	85 560 128 577
